,Univariate analysis,,Multivariate analysis,
,HR (95% CI),P value,HR (95% CI),P value
TCGA COAD testing set (n=200),,,,
gender,0.733(0.452-1.189),0.209,,
age,1.557(0.949-2.555),0.08,,
lymph_node_examined_count,0.686(0.34-1.382),0.292,,
lymphatic_invasion,2.35(1.408-3.924),0.001,0.995(0.542-1.829),0.988
pathologic_M,3.708(2.245-6.124),< 0.001,1.536(0.842-2.803),0.162
preoperative_pretreatment_cea_level,2.387(1.443-3.95),< 0.001,1.579(0.929-2.683),0.092
venous_invasion,2.729(1.679-4.436),< 0.001,1.983(1.145-3.434),0.015
tumor_stage,3.859(2.122-7.019),< 0.001,2.666(1.223-5.814),0.014
mir195,1.159(0.718-1.869),0.546,,
YAP1,0.672(0.411-1.098),0.113,,
Independent validation cohort (n = 60),,,,
gender,0.523(0.2-1.37),0.187,,
age,1.539(0.617-3.84),0.355,,
lymph_node_examined_count,0.398(0.124-1.275),0.121,,
lymphatic_invasion,4.783(1.107-20.667),0.036,2.897(0.628-13.356),0.173
pathologic_M,2.543(1.028-6.288),0.043,1.065(0.377-3.011),0.906
preoperative_pretreatment_cea_level,1.36(0.543-3.406),0.512,,
venous_invasion,2.133(0.859-5.292),0.102,,
tumor_stage,5.373(1.242-23.244),0.024,3.419(0.635-18.417),0.153
mir195,1.45(0.582-3.612),0.425,,
YAP1,0.739(0.297-1.836),0.514,,
