"Var1","value"
"HSP90B1",0.624019230472908
"LSP1",0.732266344986577
"ARHGAP4",0.654275171468397
"AHNAK",0.679248113725758
"FLII",0.625483812740186
"CWF19L1",0.410461934897744
"SIPA1",0.673498329619309
"FMNL1",0.624019230472908
"LSP1",0.596185373856152
"ARHGAP4",0.544888979517846
"AHNAK",0.696838575281248
"FLII",0.574616393779363
"CWF19L1",0.35809914828159
"SIPA1",0.639823413138344
"FMNL1",0.732266344986577
"HSP90B1",0.596185373856152
"ARHGAP4",0.516470715529932
"AHNAK",0.681059468769064
"FLII",0.654980915752513
"CWF19L1",0.330496596049036
"SIPA1",0.587303158513557
"FMNL1",0.654275171468397
"HSP90B1",0.544888979517846
"LSP1",0.516470715529932
"AHNAK",0.548559021437074
"FLII",0.6143516908091
"CWF19L1",0.398236110868917
"SIPA1",0.74085896093656
"FMNL1",0.679248113725758
"HSP90B1",0.696838575281248
"LSP1",0.681059468769064
"ARHGAP4",0.548559021437074
"FLII",0.610880512047978
"CWF19L1",0.363499656120883
"SIPA1",0.63074321240898
"FMNL1",0.625483812740186
"HSP90B1",0.574616393779363
"LSP1",0.654980915752513
"ARHGAP4",0.6143516908091
"AHNAK",0.610880512047978
"CWF19L1",0.357728947668483
"SIPA1",0.630942152657437
"FMNL1",0.410461934897744
"HSP90B1",0.35809914828159
"LSP1",0.330496596049036
"ARHGAP4",0.398236110868917
"AHNAK",0.363499656120883
"FLII",0.357728947668483
"SIPA1",0.493074030952757
"FMNL1",0.673498329619309
"HSP90B1",0.639823413138344
"LSP1",0.587303158513557
"ARHGAP4",0.74085896093656
"AHNAK",0.63074321240898
"FLII",0.630942152657437
"CWF19L1",0.493074030952757
